GivenName,Surname,SamAccountName,OU
John,Doe,jdoe,"OU=Users,OU=IT,OU=HeadOffice,DC=lab-test,DC=local"
Jane,Smith,jsmith,"OU=Users,OU=IT,OU=HeadOffice,DC=lab-test,DC=local"
Bob,Brown,bbrown,"OU=Users,OU=IT,OU=HeadOffice,DC=lab-test,DC=local"
Alice,White,awhite,"OU=Users,OU=IT,OU=HeadOffice,DC=lab-test,DC=local"
Michael,Johnson,mjohnson,"OU=Users,OU=Sales,OU=HeadOffice,DC=lab-test,DC=local"
Emily,Davis,edavis,"OU=Users,OU=Sales,OU=HeadOffice,DC=lab-test,DC=local"
David,Wilson,dwilson,"OU=Users,OU=Sales,OU=HeadOffice,DC=lab-test,DC=local"
Sarah,Miller,smiller,"OU=Users,OU=Finance,OU=HeadOffice,DC=lab-test,DC=local"
Kevin,Taylor,ktaylor,"OU=Users,OU=Finance,OU=HeadOffice,DC=lab-test,DC=local"
Olivia,Martinez,omartinez,"OU=Users,OU=HR,OU=HeadOffice,DC=lab-test,DC=local"
